# topic	english	chinese	visual
animals	cat	猫	🐱
animals	dog	狗	🐶
animals	puppy	小狗	🐶
animals	kitten	小猫	🐱
animals	rabbit	兔子	🐰
animals	hamster	仓鼠	🐹
animals	mouse	老鼠	🐭
animals	rat	大老鼠	🐀
animals	squirrel	松鼠	🐿️
animals	hedgehog	刺猬	🦔
animals	guinea pig	豚鼠	🐹
animals	horse	马	🐴
animals	pony	小马	🐴
animals	cow	奶牛	🐮
animals	calf	小牛	🐄
animals	pig	猪	🐷
animals	goat	山羊	🐐
animals	sheep	绵羊	🐑
animals	lamb	小羊	🐑
animals	donkey	驴	🫏
animals	deer	鹿	🦌
animals	moose	驼鹿	🫎
animals	giraffe	长颈鹿	🦒
animals	zebra	斑马	🦓
animals	elephant	大象	🐘
animals	lion	狮子	🦁
animals	tiger	老虎	🐯
animals	leopard	豹子	🐆
animals	cheetah	猎豹	🐆
animals	bear	熊	🐻
animals	panda	熊猫	🐼
animals	monkey	猴子	🐵
animals	gorilla	大猩猩	🦍
animals	kangaroo	袋鼠	🦘
animals	koala	考拉	🐨
animals	fox	狐狸	🦊
animals	wolf	狼	🐺
animals	raccoon	浣熊	🦝
animals	camel	骆驼	🐫
animals	hippo	河马	🦛
animals	rhino	犀牛	🦏
animals	crocodile	鳄鱼	🐊
animals	alligator	短吻鳄	🐊
animals	turtle	乌龟	🐢
animals	snake	蛇	🐍
animals	lizard	蜥蜴	🦎
animals	frog	青蛙	🐸
animals	fish	鱼	🐟
animals	shark	鲨鱼	🦈
animals	whale	鲸鱼	🐋
animals	dolphin	海豚	🐬
animals	octopus	章鱼	🐙
animals	crab	螃蟹	🦀
animals	lobster	龙虾	🦞
animals	seal	海豹	🦭
animals	penguin	企鹅	🐧
animals	owl	猫头鹰	🦉
animals	eagle	鹰	🦅
animals	parrot	鹦鹉	🦜
animals	duck	鸭子	🦆
animals	goose	鹅	🪿
animals	chicken	小鸡	🐔
animals	bee	蜜蜂	🐝
animals	butterfly	蝴蝶	🦋
food	apple	苹果	🍎
food	banana	香蕉	🍌
food	orange	橙子	🍊
food	pear	梨	🍐
food	peach	桃子	🍑
food	grape	葡萄	🍇
food	strawberry	草莓	🍓
food	blueberry	蓝莓	🫐
food	watermelon	西瓜	🍉
food	lemon	柠檬	🍋
food	pineapple	菠萝	🍍
food	mango	芒果	🥭
food	cherry	樱桃	🍒
food	coconut	椰子	🥥
food	avocado	牛油果	🥑
food	tomato	西红柿	🍅
food	potato	土豆	🥔
food	carrot	胡萝卜	🥕
food	corn	玉米	🌽
food	broccoli	西兰花	🥦
food	pea	豌豆	🫛
food	bean	豆子	🫘
food	lettuce	生菜	🥬
food	cabbage	卷心菜	🥬
food	cucumber	黄瓜	🥒
food	pumpkin	南瓜	🎃
food	mushroom	蘑菇	🍄
food	onion	洋葱	🧅
food	garlic	大蒜	🧄
food	rice	米饭	🍚
food	noodle	面条	🍜
food	bread	面包	🍞
food	toast	吐司	🍞
food	sandwich	三明治	🥪
food	pizza	披萨	🍕
food	burger	汉堡	🍔
food	egg	鸡蛋	🥚
food	cheese	奶酪	🧀
food	milk	牛奶	🥛
food	yogurt	酸奶	🥣
food	butter	黄油	🧈
food	cereal	麦片	🥣
food	oatmeal	燕麦粥	🥣
food	soup	汤	🥣
food	salad	沙拉	🥗
food	chicken	鸡肉	🍗
food	meat	肉	🥩
food	beef	牛肉	🥩
food	pork	猪肉	🥓
food	fish	鱼肉	🐟
food	sausage	香肠	🌭
food	cookie	饼干	🍪
food	cake	蛋糕	🍰
food	ice cream	冰淇淋	🍨
food	candy	糖果	🍬
food	chocolate	巧克力	🍫
food	water	水	💧
food	juice	果汁	🧃
home	house	房子	🏠
home	home	家	🏡
home	room	房间	🚪
home	bedroom	卧室	🛏️
home	bathroom	浴室	🛁
home	kitchen	厨房	🍳
home	living room	客厅	🛋️
home	dining room	餐厅	🍽️
home	garden	花园	🌷
home	yard	院子	🏡
home	door	门	🚪
home	window	窗户	🪟
home	wall	墙	🧱
home	floor	地板	🟫
home	ceiling	天花板	🏠
home	roof	屋顶	🏠
home	stairs	楼梯	🪜
home	balcony	阳台	🏢
home	garage	车库	🚗
home	key	钥匙	🔑
home	lock	锁	🔒
home	bell	门铃	🔔
home	table	桌子	🪑
home	chair	椅子	🪑
home	sofa	沙发	🛋️
home	bed	床	🛏️
home	pillow	枕头	🛏️
home	blanket	毯子	🧶
home	sheet	床单	🛏️
home	lamp	台灯	💡
home	light	灯	💡
home	clock	钟	🕰️
home	picture	图画	🖼️
home	mirror	镜子	🪞
home	shelf	架子	📚
home	drawer	抽屉	🗄️
home	cupboard	橱柜	🗄️
home	closet	壁橱	🚪
home	wardrobe	衣柜	👚
home	desk	书桌	🖥️
home	television	电视	📺
home	radio	收音机	📻
home	computer	电脑	🖥️
home	phone	电话	☎️
home	fan	风扇	🪭
home	fridge	冰箱	🧊
home	oven	烤箱	♨️
home	stove	炉灶	🍳
home	microwave	微波炉	♨️
home	sink	水槽	🚰
home	bathtub	浴缸	🛁
home	shower	淋浴	🚿
transport	car	汽车	🚗
transport	bus	公交车	🚌
transport	school bus	校车	🚍
transport	taxi	出租车	🚕
transport	train	火车	🚆
transport	subway	地铁	🚇
transport	tram	有轨电车	🚊
transport	bicycle	自行车	🚲
transport	scooter	滑板车	🛴
transport	motorcycle	摩托车	🏍️
transport	truck	卡车	🚚
transport	van	面包车	🚐
transport	jeep	吉普车	🚙
transport	ambulance	救护车	🚑
transport	fire engine	消防车	🚒
transport	police car	警车	🚓
transport	tractor	拖拉机	🚜
transport	helicopter	直升机	🚁
transport	airplane	飞机	✈️
transport	rocket	火箭	🚀
transport	boat	小船	⛵
transport	ship	轮船	🚢
transport	ferry	渡船	⛴️
transport	canoe	独木舟	🛶
transport	kayak	皮划艇	🛶
transport	submarine	潜水艇	🚤
transport	skateboard	滑板	🛹
transport	roller skates	旱冰鞋	🛼
transport	wheel	车轮	🛞
transport	tire	轮胎	🛞
transport	engine	发动机	⚙️
transport	road	道路	🛣️
transport	street	街道	🛣️
transport	bridge	桥	🌉
transport	tunnel	隧道	🚇
transport	station	车站	🚉
transport	airport	机场	🛫
transport	bus stop	公交站	🚏
transport	ticket	车票	🎫
transport	driver	司机	🧑‍✈️
transport	passenger	乘客	🧑
transport	seat	座位	💺
transport	helmet	头盔	⛑️
transport	map	地图	🗺️
transport	traffic light	红绿灯	🚦
transport	crosswalk	人行横道	🚸
nature	sun	太阳	☀️
nature	moon	月亮	🌙
nature	star	星星	⭐
nature	sky	天空	🌤️
nature	cloud	云	☁️
nature	rain	雨	🌧️
nature	snow	雪	❄️
